regime,method,d,N,average_indegree,true_family,selected_working_family,count,row_total,row_proportion
expanded,LibraryDP,8,3200,1.5,Poisson,Poisson,111,119,0.9327731092436975
expanded,LibraryDP,8,3200,1.5,Poisson,NB,7,119,0.058823529411764705
expanded,LibraryDP,8,3200,1.5,Poisson,ZIP,0,119,0.0
expanded,LibraryDP,8,3200,1.5,Poisson,Geom,0,119,0.0
expanded,LibraryDP,8,3200,1.5,Poisson,Binomial,1,119,0.008403361344537815
expanded,LibraryDP,8,3200,1.5,Poisson,Bernoulli,0,119,0.0
expanded,LibraryDP,8,3200,1.5,NB,Poisson,12,148,0.08108108108108109
expanded,LibraryDP,8,3200,1.5,NB,NB,126,148,0.8513513513513513
expanded,LibraryDP,8,3200,1.5,NB,ZIP,2,148,0.013513513513513514
expanded,LibraryDP,8,3200,1.5,NB,Geom,4,148,0.02702702702702703
expanded,LibraryDP,8,3200,1.5,NB,Binomial,1,148,0.006756756756756757
expanded,LibraryDP,8,3200,1.5,NB,Bernoulli,3,148,0.02027027027027027
expanded,LibraryDP,8,3200,1.5,ZIP,Poisson,2,124,0.016129032258064516
expanded,LibraryDP,8,3200,1.5,ZIP,NB,9,124,0.07258064516129033
expanded,LibraryDP,8,3200,1.5,ZIP,ZIP,101,124,0.8145161290322581
expanded,LibraryDP,8,3200,1.5,ZIP,Geom,10,124,0.08064516129032258
expanded,LibraryDP,8,3200,1.5,ZIP,Binomial,0,124,0.0
expanded,LibraryDP,8,3200,1.5,ZIP,Bernoulli,2,124,0.016129032258064516
expanded,LibraryDP,8,3200,1.5,Geom,Poisson,1,146,0.00684931506849315
expanded,LibraryDP,8,3200,1.5,Geom,NB,36,146,0.2465753424657534
expanded,LibraryDP,8,3200,1.5,Geom,ZIP,0,146,0.0
expanded,LibraryDP,8,3200,1.5,Geom,Geom,103,146,0.7054794520547946
expanded,LibraryDP,8,3200,1.5,Geom,Binomial,1,146,0.00684931506849315
expanded,LibraryDP,8,3200,1.5,Geom,Bernoulli,5,146,0.03424657534246575
expanded,LibraryDP,8,3200,1.5,Binomial,Poisson,14,124,0.11290322580645161
expanded,LibraryDP,8,3200,1.5,Binomial,NB,7,124,0.056451612903225805
expanded,LibraryDP,8,3200,1.5,Binomial,ZIP,0,124,0.0
expanded,LibraryDP,8,3200,1.5,Binomial,Geom,3,124,0.024193548387096774
expanded,LibraryDP,8,3200,1.5,Binomial,Binomial,98,124,0.7903225806451613
expanded,LibraryDP,8,3200,1.5,Binomial,Bernoulli,2,124,0.016129032258064516
expanded,LibraryDP,8,3200,1.5,Bernoulli,Poisson,11,139,0.07913669064748201
expanded,LibraryDP,8,3200,1.5,Bernoulli,NB,12,139,0.08633093525179857
expanded,LibraryDP,8,3200,1.5,Bernoulli,ZIP,0,139,0.0
expanded,LibraryDP,8,3200,1.5,Bernoulli,Geom,7,139,0.050359712230215826
expanded,LibraryDP,8,3200,1.5,Bernoulli,Binomial,0,139,0.0
expanded,LibraryDP,8,3200,1.5,Bernoulli,Bernoulli,109,139,0.7841726618705036
